Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-20.local) 	03/24/15 	_x86_64_	(32 CPU)

15:21:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
15:21:40       5   96.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    4.00
15:21:40       6   97.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.02
15:21:40       7   95.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.00
15:21:40       8   96.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    4.00
15:21:40       9   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00
15:21:40      10   88.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   12.00
15:21:40      11   98.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.01
15:21:40      12   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:40      13   83.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   17.00
15:21:40      14   95.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.00
15:21:40      15   96.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    4.00
15:21:40      16   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:40      17   81.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   19.00
15:21:40      18   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:40      19   88.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   12.00
15:21:40      20   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:40      21   90.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.09
15:21:40      22   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:40      23   89.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.10
15:21:40      24   96.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    4.00
15:21:40      25   96.04    0.00    0.00    0.00    0.00    0.99    0.00    0.00    2.97
15:21:40      26   94.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.00
15:21:40      27   97.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.97
15:21:40      28   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:40      29   93.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.00
15:21:40      30   96.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.03
15:21:40      31   96.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    4.00

15:21:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
15:21:41     all   96.66    0.00    0.06    0.00    0.00    0.00    0.00    0.00    3.28
15:21:41       0   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:41       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:41       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:41       3   93.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.00
15:21:41       4  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:41       5   96.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.03
15:21:41       6   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
15:21:41       7   96.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.03
15:21:41       8   97.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.02
15:21:41       9   98.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.98
15:21:41      10   88.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   12.00
15:21:41      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:41      12  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:41      13   81.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   19.00
15:21:41      14   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
15:21:41      15   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:41      16  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:41      17  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:41      18  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:41      19   88.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   12.00
15:21:41      20  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:41      21   90.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.00
15:21:41      22  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:41      23   89.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   11.00
15:21:41      24   97.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.02
15:21:41      25   98.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.98
15:21:41      26   96.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.96
15:21:41      27  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:41      28  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:41      29   93.07    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.93
15:21:41      30   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:41      31   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00

15:21:41     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
15:21:42     all   96.50    0.00    0.16    0.00    0.00    0.00    0.00    0.00    3.35
15:21:42       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
