compute-652-1
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Fri May  1 22:53:45 2015

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 8388608 kilobytes.
	Command line used: /opt/iozone/bin/iozone -Ra -g 8G -b 652_8.xls -f 652_8.tmp
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
           65536      64 1574439 1896130  4768642  7410944 7396785 2286023 5971867  6566003  7394397  2303051  1974147 6592459  7393403
           65536     128 1521614 2159906  5939478  7046741 7050717 2452235 6440920  6577945  7095673  2294591  1969282 4048465  7021899
           65536     256 1507511 2118081  4425747  5019977 6648105 2448674 6128307  5759402  6465615  2262596  1828523 4731784  6576686
           65536     512 1686938 1987867  6135831  6675876 6770257 2447017 6322694  5424243  6347954  2274296  2234220 4259770  6657605
           65536    1024 1633137 1991308  5961117  6732615 6754121 2429413 4551124  5448650  5195118  2134927  1860226 5726646  6479026
           65536    2048 1588331 2156991  5832110  6820316 6835241 2459585 6183172  5367890  5179456  2000060  1780876 4269761  6741697
           65536    4096 1553607 2172934  5293768  6895598 6871637 2249008 5791926  5229115  8601814  2040927  1899261    9468  4296322
           65536    8192 1648000 2206670  6258204  6800574 6708625 2476047 4651237  3644541  7061948  1985641  1863354 4895438  4244575
           65536   16384 1621289 2073723  4600020  4648955 4623308 2329339 3783393  2817416  3839248  1981247  1908121 3381788  4661491
          131072      64 1688766 2129938  6783189  7439305 7258766 2287515 5695074  6565753  7326189  2257373  2188067 5902796  7420728
          131072     128 1685489 2131077  6314836  7167069 7049163 2483034 6353149  6570697  7085686  2219300  2223933 5699325  7158856
          131072     256 1744808 2206562  5414190  6663237 6636612 2466303    6798  5040264  6008076  2244690  2057062 6131164  6672700
          131072     512 1725423 2273890  6278273  6776834 6747887 2505440 5521643  5521144  6781432  2281136  2264505 5478230  6747638
          131072    1024 1835720 2314656  6703047  6823856 6811765 2513711    7615  5522974  5915372  2125762  1979370   10262  4348893
          131072    2048 1810510 2295519  6717134  6879015 5650645 2528731    8526  5522752  6211943  2007684  1943679 5960006  5559052
          131072    4096 1905171 2204925  5657215  6919971 6888324 2507440 5957035  5323541  5866890  1941949  1947459 6007222  6850556
          131072    8192 1768682 2194372  6646964  6827330 6777920 2519748 5671690  5148548  9104207  1760915  1793470 5486431  5706187
          131072   16384 1715580 2212263  4487699  4525044 4508974 2379402    8525  3024977  4077919  1799847  1758769 4123061  4511157
          262144      64 1738980 2204429  7333118  6637085 7276965 2305085 6632201  6606260  7359426  2284515  2269215   10214  5465562
          262144     128 1826252 2330709     6958  5621920 7091481 2494876 6963041  5740082  7168274  2270982  2280605    9763  5655522
          262144     256 1832483 2169779    10852  4903197 5964041 2406866 6553574  5765062  6607768  2247732  2245689 6338747  6728553
          262144     512 1857396 2331514  6090134  6840404 6800634 2519476 6734776  5532918  6778831  2282807  2204208   11083  5154335
          262144    1024 1883206 2340468  6484353  6808424 6876984 2529247 6263139  5345094  6871569  2134407  2114320   11158  5348786
          262144    2048 1896321 2192149    11336  5462358 6739772 2553791 6720780  5445450  6390176  2013610  1980524   11058  5134550
          262144    4096 1905309 2326773    10747  5223040 6790428 2551178 6602134  5405241  5959580  1938104  1909753    9834  4606040
          262144    8192 1859281 2337795  6283720  6850932 6833602 2545060 6657299  5247619  6246593  1765921  1782335   10053  5026825
          262144   16384 1783523 2193216    12146  3914527 4291182 2398324 4178193  2859463  4148837  1720791  1722638    9444  3808626
          524288      64 1876349 2238661    10449  6077020 7081817 2304469 7079719  6189588  7240731  2278840  2257080   10982  5770278
          524288     128 1903885 2339192  6877518  7348944 7189009 2515717 7111981  6596130  7203138  2291007  2286831 7271882  7325613
          524288     256 1920013 2334891    10825  5656479 6649706 2514716 1496221  5784348  6678666  2249640  2261127   10240  5901820
          524288     512 2016352 2347761     9977  5638842 6733906 2543035 6786987  5333450  6783051  2288797  2274587   10925  5450158
          524288    1024 2117035 2383713    10705  5781429 6749076 2550772 6635379  5414075  6498299  2211850  2129027 6381530  6511036
          524288    2048 1950258 2373115    10475  5844785 6728364 2556142 6812913  5451225  6436765  2013016  2002979   10973  5665339
          524288    4096 1937266 2358629  6677206  7008999 6783386 2555655 6665326  5410106  6444122  1930205  1917694   11248  5607410
          524288    8192 1962765 2343532    11448  5695936 6416051 2525714 6784076  5156509  6408142  1820608  1763059 6158904  6788831
          524288   16384 1848447 2236932    11556  3944062 4394778 2392021   10322  3134812  4236673  1665167  1672818 4355055  4445724
         1048576      64 1847577 2527359    10943  6179003 7063015 2320618     711  6611945  6565289  2147115  2093442   10959  6214925
         1048576     128 2167088 2303767    10529  5825066 7108312 2462897 6939983  6547705  7130346  2489567  2235412   10423  6026192
         1048576     256 2069588 2295779    10650  5673838 6681424 2459132 6402617  5859438  6569496  2602759  2211905   10524  5611923
         1048576     512 2202779 2327345    10770  5702596 6643998 2493557 6443450  5528248  6728804  2596340  2231482   10402  5817369
         1048576    1024 1963621 2373449    11215  5757955 6842037 2558451    3140  5431371  6787990  2584348  2135383 6874785  6940027
         1048576    2048 2149853 2390657    10526  5865666 6548192 2670232 6887241  5456472  6762045  2123948  1989553   10663  5849860
         1048576    4096 1978647 2387979    11300  5834269 6807343 2577184 6639965  6433016  6912115  2111930  1913920 6833298  6894269
         1048576    8192 2475562 2401202    11398  5844286 6851374 2579452 6616371  5272799  6785979  1846065  1793479   10324  5729138
         1048576   16384 2278018 2235393    11530  3963951 4355528 2546984   10323  3184779  4399054  1672351  1806556   10978  3910289
         2097152      64 2094125 2333108    10528  6347950 7242820 2283636     820  6520001  6059731  2023606  1974269   10444  5174702
         2097152     128 2211345 2650609    11379  6099757 7150023 2679857    1245  8681593  5628833  2047356  1886014   10462  6115163
         2097152     256 2243689 2425084    10772  5753928 6808559 2947490 6798892  7620330  8564627  2792048  2349113   11116  4869591
         2097152     512 2283012 2414560     9547  5834853 6764566 2941369    2492  5418466  6242694  2139688  2288240   11038  5800577
         2097152    1024 2286673 2449755    10977  5816214 6728284 2894063 6859644  5455977  6739357  2104222  2115205   11043  5926668
         2097152    2048 1984589 2376739    11342  5925063 6886857 2908183 6909323  7078445  8774920  2478149  2147036   10520  5139109
         2097152    4096 2319889 2609241    11384  5907986 6790505 2856712 6898821  6639017  8839345  2383067  2074794   11311  5916252
         2097152    8192 1982968 2386675    11316  5918724 6856462 2950344    8276  5258481  5321870  1771773  1631917   11055  4595965
         2097152   16384 1887909 2320343    11485  4147723 5238021 2916867   10028  2574231  3764395  1610720  1493662   11032  3552959
         4194304      64 2212170 2496297     9704  6392314 8317642 2782006     989  8480864  5970522  2086081  2066047   10786  6355795
         4194304     128 2447643 2602309    10540  6032305 8182138 2912852 7118740  6512144  7002116  2224713  2494984    8985  6189759
         4194304     256 2405793 2688184    11063  5209519 6571855 2613251    1869  7520998  5517936  2072886  1985453    9167  5535441
         4194304     512 2404732 2689223     9957  5929350 8577149 3071242    2524  7173197  8129033  2675767  2457072   10847  5917871
         4194304    1024 1994478 2778332    10187  5937609 6859255 2512430    3540  5431192  5166283  1738633  1737798    9990  5597457
         4194304    2048 1993078 2397095    10380  6004677 6918279 2539845    5419  6604891  8800507  2473520  1999040   10610  4226833
         4194304    4096 2327837 2385657    10761  5984414 8107208 3115921    8345  6591260  8754697  2373235  2237051   11087  5967982
         4194304    8192 1985972 2353802    10872  5958605 8118881 3124278    8375  5533455  6855241  1775407  1779461   10782  5999971
         

iozone: interrupted

Excel output is below:

"Writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   467002  760859  799377  818885  852702 
"128"   753179  895074  934004  901083  1663139  857887 
"256"   785584  985259  988889  1108314  999940  1319408  1012194 
"512"   948197  982917  982917  1537424  1541840  1451192  1019791  1075459 
"1024"   966071  1078919  1020956  1153071  1072185  1061060  1129123  1128826  1061060 
"2048"   860904  1003519  1103423  1082427  1067230  1115459  1140942  1147956  1079028  1214673 
"4096"   873546  1396532  1018440  1032518  1070276  1074762  1056520  1058407  1048140  1065827  1044317 
"8192"   878388  962408  998661  1009725  1025547  1541569  1066251  1389630  1050666  1063182  1062656  1017770 
"16384"   979903  960711  1043959  986161  1146054  1353950  1210856  1079954  1091256  1322347  1031548  1181583  1146934 
"32768"   0  0  0  0  1223737  1350209  1287993  1431912  1334801  1413314  1351643  1427984  1514515 
"65536"   0  0  0  0  1574439  1521614  1507511  1686938  1633137  1588331  1553607  1648000  1621289 
"131072"   0  0  0  0  1688766  1685489  1744808  1725423  1835720  1810510  1905171  1768682  1715580 
"262144"   0  0  0  0  1738980  1826252  1832483  1857396  1883206  1896321  1905309  1859281  1783523 
"524288"   0  0  0  0  1876349  1903885  1920013  2016352  2117035  1950258  1937266  1962765  1848447 
"1048576"   0  0  0  0  1847577  2167088  2069588  2202779  1963621  2149853  1978647  2475562  2278018 
"2097152"   0  0  0  0  2094125  2211345  2243689  2283012  2286673  1984589  2319889  1982968  1887909 
"4194304"   0  0  0  0  2212170  2447643  2405793  2404732  1994478  1993078  2327837  1985972  1894181 

"Re-writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   1017549  863676  1330167  987600  1255511 
"128"   1319723  2985839  1373754  1421023  2985839  1455701 
"256"   1523457  1413179  1368162  1610276  3123106  1561112  3123106 
"512"   1604029  1741948  2449212  1783912  1821745  1801873  3264616  3081897 
"1024"   1357961  1914144  1848247  2073055  2024203  2085132  1861867  2019445  1813136 
"2048"   1630338  1840251  1889224  1928672  1948358  1948358  1856959  1840251  1906837  1903035 
"4096"   1573564  1732574  1644351  1859332  1819553  1709472  1914019  1895436  1909552  1822062  1910401 
"8192"   1485132  1898558  3417585  2038814  1726810  1761784  1653913  1493524  3420647  1649230  1695704  1803205 
"16384"   2021469  1683524  1804238  1585414  3095359  3043134  1934571  2839084  2462639  2014005  1971818  1452726  1318642 
