compute-431-3
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Fri May  1 23:32:54 2015

	Excel chart generation enabled
	Auto Mode
	Command line used: /opt/iozone/bin/iozone -Ra -b 431_3.xls -f 431_3.tmp
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
           32768      64 1891149 2290962  5922355  6974895 6937925 2925240 4826686  3671421  4795529  2374640  2250411 4936423  4695267
           32768     128 1710230 2573676  5371687  4801057 6137364 3021446 5124914  6454106  6727045  2640274  2033908 4997451  6724412
           32768     256 1843808 2208677  5676995  6284415 6322286 3046224 5330643  5768975  6317346  2732286  2458578 4763451  5434344
           32768     512 2041491 2292758  5175086  4938729 6294489 2989505 4725780  5440583  6270080  2707846  2414564 4729846  5377151
           32768    1024 1814979 2709448  4835857  6222390 6364150 3065588 5172554  5414434  6476003  2200825  1861816 5096975  4689179
           32768    2048 2051854 2414394  4804750  5743661 6493749 3089015 5774065  5327337  9219879  2068561  1934920 5195628  6288441
           32768    4096 1836147 2689196  4996725  6435370 6217886 3012571 5202905  4974660  6241606  1960758  1731104 4751758  6050366
           32768    8192 1503530 1885726  4318475  4679759 4606201 2492644 3718203  2978362  4037950  2103223  2072741 3950779  4297545
           32768   16384 1655196 2009200  3922814  4174708 4164210 2486961 4026122  2679079  4040443  2657786  2538593 3631262  4162570
           65536      64 1931165 2443102  6419410  7088171 6918856 2921938 5474477  6407588  6907207  2732824  2389457 5285218  7075764
