Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-1.local) 	03/20/2015 	_x86_64_	(48 CPU)

01:34:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:34:12 AM   46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:12 AM   47    1.98    0.00    1.98    0.00    0.00    0.00    0.00    0.00   96.04

01:34:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:34:13 AM  all    6.31    0.00    0.79    0.00    0.00    0.00    0.00    0.00   92.90
01:34:13 AM    0   74.00    0.00   11.00    0.00    0.00    0.00    0.00    0.00   15.00
01:34:13 AM    1    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00   98.02
01:34:13 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   11    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
01:34:13 AM   12   65.35    0.00    2.97    0.00    0.00    0.00    0.00    0.00   31.68
01:34:13 AM   13   75.25    0.00    8.91    0.00    0.00    0.00    0.00    0.00   15.84
01:34:13 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
