compute-431-5
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Thu Apr 30 22:49:07 2015

	Excel chart generation enabled
	Auto Mode
	Command line used: /opt/iozone/bin/iozone -Ra -b 431_5.xls -f 431_5.tmp
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
"65536"   0  0  0  0  2707975  2626494  2723969  2643315  2719091  2890506  2619860  2216153  2210983 
"131072"   0  0  0  0  2739863  2824274  2817053  2837554  2946033  2724020  2303029  2372768  2370712 
"262144"   0  0  0  0  2881940  2892714  2861613  2573017  2588920  2601231  2572379  2018745  2335481 
"524288"   0  0  0  0  2888177  2955482  2951559  2957167  2993245  2994032  2916001  2391868  2447231 

"Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   2662899  4018152  4564786  4274062  5735102 
"128"   4104338  4267461  4934216  5122535  5603747  6114306 
"256"   3705040  4929815  3994490  5320671  5569035  5938650  5810112 
"512"   3941742  2975154  4784885  4660280  4973263  5331314  5278892  5886650 
"1024"   4920874  4674510  5444898  4470172  5983467  4995276  7066349  8326715  10557785 
"2048"   5611381  6420913  4807425  5521212  5420181  5769681  6962145  7082696  5785224  5916724 
"4096"   3901141  5375755  4946971  5013377  5696610  6459069  5382492  6086096  6216019  5859825  5649775 
"8192"   4154339  6912307  4920620  5364680  6537482  5558204  5572627  4995741  5139206  5309142  6224809  5801260 
"16384"   3770035  5022690  4816063  4877594  5400009  4992041  5061534  5191153  5364599  4966067  5116937  4563711  4365689 
"32768"   0  0  0  0  4890055  4824483  4610064  6052231  4702657  4794191  4891447  4632127  4021527 
"65536"   0  0  0  0  6398788  6176225  5311259  5625388  5844635  5135235  5459146  4339254  4397778 
"131072"   0  0  0  0  6256766  6039029  5968159  5935169  6062805  6104883  4431841  4738342  4391167 
"262144"   0  0  0  0  6318531  6426705  4684417  4915121  4985909  4998375  4890395  4892833  4459212 
"524288"   0  0  0  0  7059514  6639346  80923  6313375  6337794  6586686  4978468  4544687  3710593 

"Re-Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   4274062  5860307  5735102  6421025  6421025 
"128"   3759450  5847904  4596273  6114306  5784891  6406138 
"256"   4652146  5687020  4572895  6073004  5810112  7735574  5810112 
